Original Sentence,Subject,Verb,Object,Non-finite Verbs
"句子：The act of kindness towards others can have a profound impact on both the giver and the recipient, fostering a sense of connection and empathy within communities.",act,have,communities,fostering
"句子：The action plan outlines the steps needed to address the issue efficiently and effectively, ensuring progress towards the desired outcome.",plan,outlines,outcome,"needed, to address, address, ensuring, desired"
"句子：The active involvement of all team members contributes significantly to the success of the project, ensuring that tasks are completed efficiently and objectives are met effectively.",objectives,contributes,project,"to contributes, ensuring"
"句子：The activity peaked during the summer months, with families enjoying outdoor adventures and community events.",families,peaked,adventures,
"句子：The actor delivered a captivating performance, mesmerizing the audience with their impeccable portrayal of the character.",actor,delivered,character,"captivating, mesmerizing"
"句子：The talented actress captivated the audience with her mesmerizing performance, earning rave reviews from critics and fans alike.",actress,captivated,critics,"mesmerizing, earning"
"句子：He actually completed the assignment ahead of schedule, surprising everyone with his efficiency and dedication.",句子：He,completed,efficiency,
句子：Ad agencies play a crucial role in shaping consumer perceptions and influencing purchasing decisions through strategic advertising campaigns.,agencies,play,campaigns,
"句子：To cope with the unpredictable weather, animals adapt their behaviors and habitats, ensuring their survival in diverse environments.",animals,adapt,environments,ensuring
"句子：She carefully adds the ingredients to the mixing bowl, following the recipe step by step.",句子：She,adds,step,"to adds, following"
"句子：In addition to their regular duties, the employees took on extra responsibilities during the busy season.",employees,took,season,
句子：Additional information about the project's scope and timeline will be provided during tomorrow's meeting.,information,provided,meeting,
句子：We must address the pressing issues of poverty and inequality in our society through comprehensive policies and effective interventions.,句子：We,address,policies,pressing
"句子：The administration carefully oversees the allocation of resources and implementation of policies, ensuring efficient governance and effective service delivery.",administration,oversees,governance,ensuring
"句子：I admire her dedication and perseverance in pursuing her goals, which serve as an inspiration to many.",which,admire,many,
句子：Many animal shelters encourage people to adopt pets rather than buy them from breeders or pet stores.,shelters,encourage,breeders,to adopt
"句子：The adult carefully navigated through the dense forest, relying on years of experience and keen instincts to find its way home.",,adult,way,"navigated, relying, to find"
"句子：His advance in technology has revolutionized the industry, propelling it towards unprecedented growth and innovation.",advance,revolutionized,growth,propelling
"句子：Advanced technology enables us to achieve unprecedented levels of precision and efficiency in our operations, revolutionizing the way we approach tasks and challenges.",we,enables,tasks,"to achieve, revolutionizing"
"句子：Taking advantage of advanced technology, skilled workers maximize efficiency and productivity in the manufacturing process.",workers,maximize,process,句子：Taking
"句子：She embraced the thrill of adventure, eagerly seeking new experiences and challenges around every corner.",句子：She,embraced,corner,seeking
"句子：To promote their new product, the company decided to advertise it through various channels, including social media, television, and billboards.",company,decided,media,to advertise
"句子：The advertisement effectively conveyed the product's benefits, captivating potential customers with its persuasive message and eye-catching visuals.",advertisement,conveyed,message,"captivating, catching"
"句子：Advertising plays a crucial role in promoting products and services, reaching potential customers, and creating brand awareness.",句子：Advertising,plays,awareness,
"句子：I often advise my friends on important life decisions, offering them guidance and support whenever they seek it.",they,advise,it,"offering, seek"
"句子：The affair unfolded quietly behind closed doors, sparking rumors and speculation throughout the community.",affair,unfolded,community,sparking
"句子：The emotional affect of the movie deeply resonated with the audience, leaving them reflective and moved by its powerful storytelling.",affect,resonated,storytelling,leaving
"句子：Many people believe that education should be a fundamental right, as it can afford individuals the opportunity to pursue their dreams and contribute positively to society.",it,believe,society,"afford, to pursue, pursue, to contribute"
"句子：She was afraid to venture into the dark forest alone, fearing what unknown dangers might lurk within its shadowy depths.",dangers,was,depths,"to venture, fearing"
"句子：After finishing his work, John went for a refreshing walk in the park.",John,went,park,finishing
"句子：In the afternoon, students gathered in the courtyard to enjoy the warm sunshine and chat with friends.",students,gathered,friends,"to enjoy, enjoy"
"句子：Afterwards, we carefully analyzed the data to ensure that the experiment yielded accurate results.",experiment,analyzed,results,"to ensure, ensure"
"句子：Once again, he demonstrated his resilience by overcoming the challenges with determination and perseverance.",he,demonstrated,determination,
"句子：Age gracefully embraces us, marking the passage of time with wisdom and experience, shaping our journey through life's various chapters.",句子：Age,embraces,chapters,marking
"句子：The aged oak tree stood majestically in the center of the forest, its gnarled branches reaching towards the sky, a testament to the passage of time and the beauty of nature.",tree,stood,nature,reaching
"句子：The agency coordinates with various stakeholders to implement effective policies and programs, promoting sustainable development and economic growth.",agency,coordinates,development,"to implement, implement, promoting"
"句子：She meticulously planned her agenda for the week, ensuring that every task was prioritized and scheduled efficiently.",task,planned,week,ensuring
句子：The agent meticulously coordinates with the client and employs precise strategies to achieve the desired outcome.,agent,coordinates,outcome,"to achieve, achieve, desired"
"句子：The aggressive marketing strategy propelled the company's sales to new heights, surpassing all previous records.",strategy,propelled,records,"to propelled, surpassing"
"句子：A year ago, we embarked on an ambitious journey to revitalize the neglected neighborhood, breathing new life into its streets and restoring its sense of community.",we,embarked,community,"to revitalize, revitalize, neglected, breathing"
"句子：She and her colleague agree on the importance of clear communication in the workplace, fostering better collaboration and productivity.",句子：She,agree,collaboration,fostering
"句子：The agreement was reached after lengthy negotiations between the two parties, ensuring mutual understanding and cooperation.",agreement,reached,understanding,ensuring
"句子：The aid provided by the organization greatly improved the living conditions of the impoverished community, offering essential resources and support to those in need.",aid,improved,need,"provided, living, offering, to offering"
"句子：The aim of our project is to develop a comprehensive solution that addresses the diverse needs of our community, fostering inclusivity and collaboration.",that,is,inclusivity,"to develop, fostering"
"句子：The fresh air filled the room, carrying with it the scent of spring blossoms and the promise of new beginnings.",air,filled,beginnings,carrying
"句子：The aircraft swiftly soared through the clear blue sky, its sleek design and powerful engines propelling it towards its destination with grace and efficiency.",aircraft,soared,grace,propelling
"句子：The airline swiftly transported passengers across continents, maintaining rigorous safety protocols and delivering exceptional service.",airline,transported,service,maintaining
"句子：The airport efficiently facilitates the seamless movement of passengers and cargo, serving as a vital transportation hub for both domestic and international travel.",airport,facilitates,travel,serving
"句子：The alarm blared loudly, startling everyone in the building and prompting an immediate evacuation.",alarm,blared,evacuation,
"句子：The album features a captivating blend of melodies and lyrics, resonating deeply with listeners across various age groups and cultures.",album,features,groups,"captivating, resonating"
"句子：The vibrant colors of the garden make me feel alive and invigorated, as if nature itself is breathing life into every corner.",nature,make,corner,breathing
"句子：All students eagerly participated in the science experiment, demonstrating their enthusiasm for hands-on learning and curiosity about the natural world.",students,participated,world,demonstrating
"句子：All right, let's make sure everyone is present before we begin the meeting.",we,let,meeting,begin
句子：Allowing ample time for preparation and planning can greatly enhance the success of any project or endeavor.,句子：Allowing,enhance,project,
"句子：Almost every morning, she meticulously calibrates her coffee grinder before brewing her favorite blend, ensuring that each cup aligns perfectly with her taste preferences.",cup,calibrates,preferences,ensuring
"句子：Alone, she ventured into the forest, determined to find solace amidst the tranquil trees and chirping birds.",she,ventured,trees,"determined, to find, chirping"
"句子：She danced gracefully along the beach, her laughter echoing in the breeze as the waves gently kissed the shore.",waves,danced,shore,"echoing, kissed"
"句子：The cake is already baked to perfection, boasting a golden crust and a moist, fluffy interior.",cake,baked,crust,"to baked, boasting"
"句子：Exploring an alternative route can lead to unexpected discoveries and innovative solutions, offering fresh perspectives and opportunities for growth.",句子：Exploring,lead,growth,"to lead, offering"
"句子：Although the weather forecast predicted rain, we decided to go hiking in the mountains.",we,decided,mountains,"predicted, to go"
"句子：The machine always operates at peak efficiency due to regular maintenance and diligent monitoring, guaranteeing optimal performance.",machine,operates,performance,guaranteeing
"句子：She amazed everyone with her exceptional talent and dedication to her craft, leaving an indelible impression on all who witnessed her performance.",who,句子：She,performance,leaving
句子：The amazing performance of the athlete astonished the audience and left them in awe.,performance,astonished,awe,
句子：Her ambition to succeed in the business world drove her to pursue higher education and gain valuable experience through internships and networking opportunities.,ambition,drove,internships,"to succeed, succeed, to pursue"
"句子：An ambitious plan requires careful planning, dedicated effort, and unwavering determination to achieve its goals.",plan,requires,goals,"to achieve, achieve"
"句子：Among the crowd, the talented musician stood out, captivating everyone with his mesmerizing melodies.",musician,stood,melodies,"captivating, mesmerizing"
"句子：The thorough analysis of the data revealed significant trends and patterns, allowing for informed decision-making and strategic planning.",analysis,revealed,making,"句子：The, allowing"
"句子：Ancient civilizations left behind a wealth of knowledge and artifacts, providing insights into the history and development of human societies.",civilizations,left,societies,providing
"句子：The cat chased the mouse, and the dog barked loudly.",dog,chased,mouse,
"句子：His anger boiled over as he slammed the door shut, startling everyone in the room.",door,anger,room,"boiled, slammed"
"句子：The photographer adjusted the angle of the camera, capturing the breathtaking scenery with perfect precision.",photographer,adjusted,precision,capturing
"句子：The angry customer voiced his dissatisfaction loudly, demanding immediate resolution from the company.",customer,voiced,company,demanding
"句子：Animals instinctively adapt to their environment, utilizing their senses and physical abilities to survive and thrive in diverse ecosystems.",,adapt,ecosystems,"to adapt, utilizing, to survive, survive"
"句子：She sprained her ankle while running on the uneven pavement, causing her to hobble home in pain.",句子：She,sprained,pain,"running, causing, to causing"
"句子：The announcement startled everyone in the room, causing a ripple of excitement and anticipation to spread among the audience.",announcement,startled,audience,"causing, to spread"
"句子：The loud music from the neighbor's party started to annoy the sleeping baby, causing her to wake up crying.",her,started,baby,"to annoy, causing, to wake"
"句子：The annoyed customer complained loudly about the poor service, demanding immediate attention from the manager.",customer,complained,manager,demanding
"句子：The annoying noise from the construction site disrupted our peaceful afternoon, making it difficult to concentrate on our work.",it,disrupted,work,"making, to concentrate, concentrate"
"句子：The company's annual report highlights significant growth and achievements over the past year, reflecting its commitment to innovation and excellence in its field.",report,highlights,field,reflecting
"句子：Another opportunity arises when you least expect it, presenting new challenges and possibilities for growth.",you,arises,growth,"expect, presenting"
"句子：The answer, carefully formulated after extensive research and analysis, addresses the complex problem with clarity and precision, providing valuable insights and solutions.",answer,addresses,insights,"formulated, providing"
"句子：Despite feeling anxious about the upcoming presentation, she managed to deliver a flawless performance that impressed everyone in the audience.",that,managed,audience,"feeling, to deliver"
句子：I don't enjoy going to the beach anymore because of all the pollution and crowds.,句子：I,enjoy,pollution,to going
"句子：Anyone can achieve success with dedication, perseverance, and a positive mindset.",句子：Anyone,achieve,dedication,
句子：Anything is possible if you believe in yourself and work hard to achieve your goals.,you,is,goals,"believe, to achieve, achieve"
"句子：Anyway, the cat lazily sauntered across the room, ignoring the pile of toys scattered on the floor.",cat,sauntered,floor,"ignoring, scattered"
"句子：Anywhere you go, there's always something new to discover, whether it's hidden gems in nature or vibrant cultures in bustling cities.",it,'s,cities,"go, to discover, hidden, bustling"
"句子：Apart from his regular duties, the engineer also oversees the calibration process, ensuring precise measurements throughout the instrumentation setup.",engineer,oversees,setup,ensuring
"句子：Living in a cozy apartment near the city center provides convenience and comfort, making daily life more enjoyable.",life,provides,convenience,making
"句子：I apologize sincerely for the mistake I made in your order, and I will ensure it is corrected immediately.",it,apologize,order,
"句子：Apparently, the experiment yielded unexpected results, challenging the previously established theories and prompting further investigation.",experiment,yielded,investigation,"challenging, established"
"句子：The appeal of her artwork lies in its ability to evoke deep emotions and provoke thought, captivating viewers with its beauty and complexity.",appeal,lies,beauty,"to evoke, evoke, captivating"
"句子：The stars appear brighter as the night deepens, casting a mesmerizing glow across the dark sky.",stars,appear,sky,"casting, mesmerizing"
"句子：The appearance of the mysterious figure startled the villagers, casting a shadow of fear over the tranquil village.",appearance,startled,village,casting
"句子：An apple fell from the tree, landing softly on the lush grass below.",apple,fell,grass,landing
句子：The success of the application depends on its seamless integration with existing systems and its ability to meet the diverse needs of users.,success,depends,users,"existing, to meet, meet"
"句子：Applicants should carefully apply for the position, ensuring that all required documents are submitted accurately and on time.",documents,apply,time,"ensuring, required"
句子：He scheduled an appointment with the dentist for next Monday afternoon.,句子：He,scheduled,afternoon,
"句子：He carefully chose the appropriate attire for the formal event, ensuring he made a good impression on the guests and hosts alike.",he,chose,guests,ensuring
"句子：Her approval was eagerly awaited by the entire team, signaling their hard work had met with success.",signaling,awaited,success,
句子：The committee will approve the budget proposal after thorough review and consideration.,committee,approve,review,
"句子：The approximate location of the treasure was marked on the old map, guiding the adventurers toward their next destination.",location,marked,destination,"句子：The, guiding"
"句子：April showers bring May flowers, filling the air with the fragrance of new beginnings.",showers,bring,beginnings,filling
"句子：The architect meticulously designs the blueprint, ensuring that every detail aligns with the client's vision and the structural requirements.",architect,designs,vision,ensuring
"句子：The architecture of the building showcases a blend of modern design principles and traditional craftsmanship, creating a visually stunning and structurally sound edifice.",architecture,showcases,edifice,creating
"句子：The vast area of untouched wilderness beckons adventurers from all corners of the globe, promising endless exploration and discovery.",area,adventurers,exploration,promising
"句子：Occasional disagreements may arise during the negotiation process, but effective communication and compromise usually lead to a satisfactory resolution.",communication,arise,resolution,to lead
句子：The strong arm of the law reached out to apprehend the fleeing suspect.,句子：The,reached,suspect,"to apprehend, apprehend, fleeing"
"句子：The armed forces swiftly mobilized, deploying troops to secure the border and protect civilians from potential threats.",forces,句子：The,threats,"deploying, to secure, secure"
"句子：The explorer's arms strained as he hoisted the heavy treasure chest onto the ship, his muscles bulging with effort.",muscles,strained,effort,"hoisted, bulging"
"句子：The army swiftly deployed its troops, effectively securing the strategic location and maintaining peace in the region.",army,deployed,region,securing
"句子：The kids ran around the playground, laughing and playing games together.",kids,ran,games,laughing
"句子：He carefully arranges the books on the shelf according to their size and genre, creating a neat and organized display.",句子：He,arranges,display,"to according, creating"
"句子：The arrangement of furniture in the room creates a cozy and inviting atmosphere, perfect for relaxation and social gatherings.",arrangement,creates,relaxation,
"句子：The train is expected to arrive at the station at precisely 3:00 PM, according to the schedule.",train,expected,schedule,"to arrive, to according"
句子：Artists skillfully blend colors and textures to create captivating masterpieces that evoke deep emotions in the viewer.,that,blend,viewer,"to create, create, captivating"
"句子：The article explores various techniques for improving language proficiency among young learners, emphasizing the importance of immersive experiences and consistent practice.",article,explores,experiences,emphasizing
句子：Artificial intelligence is revolutionizing various industries by streamlining processes and enhancing efficiency through advanced algorithms and automation.,intelligence,revolutionizing,algorithms,
"句子：The artist carefully selected each brushstroke, creating a masterpiece that captivated viewers with its beauty and emotion.",that,selected,beauty,creating
"句子：Artistic expression flourishes when imagination merges with skillful technique, creating captivating masterpieces that resonate with the viewer's emotions.",that,flourishes,emotions,"creating, captivating"
"句子：As the sun sets over the horizon, the sky transforms into a breathtaking canvas of colors, painting a picturesque scene for all to admire.",sky,transforms,admire,"painting, to painting"
"句子：She felt ashamed of her actions, unable to meet the gaze of those she had disappointed.",she,felt,those,to meet
句子：The aspect of innovation plays a crucial role in driving progress and fostering growth within industries.,aspect,plays,industries,
"句子：To assess the effectiveness of the new teaching method, we conducted comprehensive evaluations and analyses, gathering data to determine its impact on student learning outcomes.",we,conducted,outcomes,"gathering, to determine, determine"
句子：An accurate assessment of the situation is crucial for making informed decisions and taking appropriate actions.,assessment,is,actions,
句子：The assignment of tasks to each team member was carefully planned to ensure that everyone had a clear understanding of their responsibilities and deadlines.,everyone,planned,responsibilities,to ensure
"句子：The organization hired a team of experts to assist with the implementation of the new software system, ensuring a smooth transition and optimal performance.",organization,hired,performance,"to assist, ensuring"
"句子：The diligent assistant efficiently manages tasks, providing valuable support to the team's productivity and success.",assistant,manages,productivity,"句子：The, providing, to providing"
"句子：The associate diligently collaborated with the team to develop innovative solutions for the project, showcasing exceptional teamwork and dedication.",,associate,teamwork,"collaborated, to develop, develop, showcasing"
句子：The associated risks are carefully assessed and managed to ensure the safety and security of all stakeholders involved.,risks,assessed,stakeholders,"associated, to ensure, involved"
"句子：The team arrived at the competition venue just before dawn, ready to showcase their skills and determination.",team,arrived,skills,to showcase
"句子：The athlete displayed remarkable strength and agility as she gracefully glided across the finish line, leaving spectators in awe of her performance.",she,displayed,performance,"glided, leaving"
句子：The serene atmosphere of the forest was enhanced by the gentle rustling of leaves and the chirping of birds.,atmosphere,enhanced,birds,
句子：She carefully attached the document to the email before sending it to her boss.,句子：She,attached,boss,"to attached, to sending"
"句子：The sudden attack surprised everyone in the village, causing chaos and panic among the residents.",attack,surprised,residents,causing
"句子：He made an attempt to climb the steep cliff, but his lack of experience and equipment hindered his progress.",lack,made,progress,"to climb, climb"
句子：They attend the conference annually to gain insights and network with industry professionals.,句子：They,attend,professionals,"to gain, gain"
句子：The attention given to detail and thoroughness in execution greatly enhances the quality of the final product.,attention,enhances,product,"given, to given"
"句子：The attraction of the amusement park is enhanced by its thrilling rides and colorful entertainment options, drawing crowds of excited visitors each day.",attraction,enhanced,visitors,drawing
"句子：The attractive package design enticed customers to purchase the product, resulting in a significant increase in sales.",customers,purchase,sales,"enticed, to purchase, resulting"
"句子：The speaker captivated the audience with his eloquent speech and compelling arguments, leaving a lasting impression on everyone present.",speaker,captivated,everyone,"leaving, lasting"
"句子：In August, the sweltering heat often prompts people to seek refuge in air-conditioned spaces or by enjoying outdoor activities near water bodies.",heat,prompts,bodies,"sweltering, to seek, conditioned"
"句子：My aunt enjoys baking delicious treats for the family gatherings, adding warmth and joy to our celebrations.",aunt,enjoys,celebrations,"adding, to adding"
"句子：The author meticulously crafts each sentence, ensuring clarity and coherence throughout the narrative.",author,crafts,narrative,ensuring
句子：The authority firmly established guidelines to maintain order and ensure compliance with regulations.,authority,established,regulations,"to maintain, maintain"
"句子：During autumn, the vibrant colors of the leaves create a picturesque scene, attracting tourists from all over the world to witness nature's breathtaking beauty.",colors,create,beauty,"attracting, to witness, witness, breathtaking"
"句子：To avoid errors in the experiment, scientists meticulously double-check their procedures and measurements, ensuring precise and reliable results.",scientists,avoid,results,ensuring
句子：The prestigious award recognizes outstanding achievement and innovation in the field of science and technology.,award,recognizes,science,
"句子：She became aware of the potential dangers lurking in the shadows, prompting her to take precautionary measures.",句子：She,became,measures,"lurking, prompting, to take"
"句子：She walked away from the noisy crowd, seeking solace in the tranquility of the forest.",句子：She,walked,forest,seeking
"句子：The awful smell permeated the entire room, causing everyone to cover their noses and retreat in disgust.",everyone,permeated,disgust,"causing, to cover"
"句子：The baby giggled joyfully as she played with her colorful toys, bringing smiles to everyone around her.",she,giggled,her,"played, bringing, to bringing"
"句子：He eagerly glanced back at the sprawling city skyline, reminiscing about the memories etched in its bustling streets and towering buildings.",句子：He,glanced,streets,"sprawling, reminiscing, etched, bustling, towering"
"句子：The background of the painting added depth and context to the artist's masterpiece, enhancing the viewer's understanding and appreciation of the artwork.",,background,artwork,"added, enhancing"
"句子：Bad decisions often result from insufficient information, emotional impulses, or flawed reasoning, leading to undesirable outcomes and consequences.",decisions,result,outcomes,"leading, to leading"
句子：He badly needs to improve his grades in order to qualify for the scholarship.,句子：He,needs,scholarship,"to improve, to qualify, qualify"
"句子：She loves to bake delicious cakes for her friends and family, using her grandmother's secret recipes and a touch of creativity.",句子：She,loves,creativity,"to bake, using"
句子：Achieving perfect balance between work and personal life requires careful prioritization and effective time management.,句子：Achieving,requires,prioritization,
"句子：The children played with the ball in the park, laughing and shouting joyfully as they kicked it back and forth.",they,played,it,"laughing, kicked"
句子：The government decided to ban the sale of sugary drinks in schools to promote healthier eating habits among students.,government,decided,students,"to ban, to promote, promote"
句子：She carefully selected the ripest banana from the bunch and peeled it with utmost precision before taking a satisfying bite.,句子：She,selected,bite,
"句子：She decided to deposit her savings in the local bank, trusting its stability and reputation for excellent customer service.",句子：She,decided,service,"to deposit, trusting"
"句子：The bartender skillfully mixed cocktails at the crowded bar, impressing patrons with his flair and creativity.",,句子：The,flair,"mixed, impressing"
"句子：The base provides a sturdy foundation for the structure, ensuring stability and support throughout its lifespan.",base,provides,lifespan,ensuring
句子：Baseball players exhibit exceptional skill and athleticism as they compete fiercely for victory on the diamond.,they,exhibit,diamond,compete
"句子：Based on extensive research and thorough analysis, the company developed a strategic plan to expand its market presence globally.",company,developed,presence,"句子：Based, to expand, expand"
"句子：Basic principles form the foundation of any field, providing a fundamental understanding that guides further exploration and development.",that,form,exploration,providing
"句子：Basically, understanding the fundamentals of a subject is essential for mastering advanced concepts and techniques.",understanding,is,concepts,
"句子：Taking a warm bath after a long day can help relax muscles and alleviate stress, promoting overall well-being.",句子：Taking,help,being,
"句子：The bathroom renovation project has been delayed due to unexpected plumbing issues, causing inconvenience to the residents.",project,delayed,residents,causing
"句子：In the fierce battle, the brave soldiers fought valiantly against the enemy forces, displaying unparalleled courage and determination.",soldiers,fought,courage,"句子：In, displaying"
"句子：To be successful in this project, thorough planning and diligent execution are essential.",planning,are,project,
"句子：On the beach, children played happily in the sand, building intricate castles and digging deep holes.",children,played,holes,"句子：On, building"
"句子：The farmer carefully planted each bean in the fertile soil, anticipating a bountiful harvest in the coming months.",farmer,planted,months,"anticipating, coming"
"句子：Bears roam freely through the dense forest, foraging for berries and fish to sustain themselves during the harsh winter months.",,roam,months,"foraging, to sustain, sustain"
"句子：The beautiful landscape captivated everyone with its vibrant colors and serene atmosphere, leaving a lasting impression on all who beheld it.",who,captivated,it,"leaving, lasting"
"句子：The beauty of nature can be found in its vibrant colors, delicate flowers, and breathtaking landscapes.",beauty,found,colors,breathtaking
"句子：Becoming a skilled musician requires consistent practice, dedication, and a deep understanding of music theory and technique.",句子：Becoming,requires,theory,
"句子：She carefully made her bed every morning, ensuring it was neat and inviting for a peaceful night's sleep.",it,made,sleep,ensuring
"句子：The bedroom exudes a cozy ambiance with its warm lighting and plush furnishings, inviting relaxation after a long day.",bedroom,exudes,day,inviting
"句子：The busy bee diligently gathers nectar from the flowers, contributing to the pollination process and the ecosystem's biodiversity.",bee,gathers,process,"contributing, to contributing"
句子：The sizzling aroma of beef filled the kitchen as it cooked to perfection on the grill.,it,filled,grill,"sizzling, cooked, to cooked"
"句子：Begging for forgiveness, she lowered her head and pleaded with tear-filled eyes.",she,lowered,eyes,"句子：Begging, filled"
"句子：She eagerly watched him begin his journey into the unknown, filled with hope and excitement.",him,watched,hope,filled
句子：Dogs behave differently depending on their training and the environment in which they are raised.,they,behave,which,
"句子：Her behavior in the meeting yesterday was unacceptable, causing disruptions and delays in our progress.",behavior,was,progress,causing
"句子：Behind the curtain, the magician carefully orchestrated each illusion, captivating the audience with mesmerizing tricks and sleight of hand.",magician,orchestrated,hand,"captivating, mesmerizing"
句子：Being mindful of safety protocols and adhering to regulations is crucial in preventing accidents and maintaining a secure work environment.,mindful,is,environment,to adhering
句子：His unwavering belief in himself propelled him to achieve remarkable success despite numerous challenges and setbacks.,belief,propelled,challenges,to achieve
"句子：The antique vase belongs on the shelf in the living room, completing the decor with its elegant design and historical significance.",vase,belongs,design,completing
"句子：The temperature readings are consistently maintained below the specified threshold, preventing any risk of overheating in the system.",readings,maintained,system,preventing
句子：The strong winds caused the tree branches to bend gracefully in the breeze.,branches,caused,breeze,to bend
"句子：The benefit of regular exercise extends beyond physical health, encompassing mental well-being and overall quality of life.",benefit,extends,life,encompassing
句子：The artist's bent for creativity and innovation shines through in every masterpiece they create.,they,shines,masterpiece,
"句子：The best approach to mastering a new language involves consistent practice, exposure to authentic materials, and guidance from experienced instructors.",approach,involves,instructors,
"句子：She decided to bet on herself, confident in her abilities to succeed against all odds.",句子：She,decided,odds,"to bet, to succeed, succeed"
"句子：His ambition reaches beyond the boundaries of ordinary expectations, driving him to pursue excellence relentlessly.",ambition,reaches,excellence,"driving, to pursue"
"句子：Riding a bicycle through the park brings a sense of freedom and joy, allowing one to explore nature at their own pace.",one,brings,pace,"allowing, to explore"
"句子：Riding a bike provides a sense of freedom and exhilaration, connecting the rider with the surrounding environment through the simple act of pedaling.",bike,provides,pedaling,"connecting, surrounding"
"句子：Bill enthusiastically discussed the proposed legislation with his colleagues, hoping to garner support for its passage through Congress.",,discussed,Congress,"proposed, hoping, to garner"
"句子：The company's expansion plans involve investing billions of dollars into research and development, aiming to innovate and stay ahead in the competitive market.",plans,involve,market,"aiming, to innovate"
"句子：The workers swiftly organized the items into the bin, ensuring efficient storage and easy access to materials when needed.",workers,organized,materials,"ensuring, needed"
"句子：Biology explores the intricate workings of living organisms, elucidating their functions, structures, and interactions within ecosystems.",句子：Biology,explores,ecosystems,elucidating
"句子：Every birthday celebration is an opportunity to cherish cherished memories, create new ones, and express gratitude for the gift of life.",celebration,is,life,"to cherish, cherish, create"
"句子：The aroma of freshly baked biscuit filled the kitchen, enticing everyone with its warm, buttery scent and golden-brown perfection.",aroma,filled,scent,"baked, enticing"
"句子：The dog eagerly awaited its owner's return, hoping for a tasty bite of the delicious treat.",dog,awaited,treat,hoping
句子：The bitter taste of disappointment lingered in her mouth long after the final exam results were announced.,results,lingered,mouth,announced
"句子：The black cat stealthily crept through the dark alley, evading notice from the unsuspecting pedestrians.",cat,crept,pedestrians,evading
"句子：She refused to blame anyone for the mistake, opting instead to focus on finding a solution to the problem.",句子：She,refused,problem,"to blame, opting, to focus"
"句子：Blank canvases provide endless opportunities for creative expression, allowing artists to explore their imagination freely without constraints.",artists,provide,constraints,"allowing, to explore"
"句子：Blogging enables individuals to share their thoughts, experiences, and expertise with a global audience, fostering communication and knowledge exchange.",句子：Blogging,enables,communication,"to share, fostering"
"句子：The blonde actress gracefully walked onto the stage, captivating the audience with her radiant smile and magnetic presence.",actress,walked,smile,captivating
"句子：The strong gust of wind caused a sudden blow to the tent, sending it tumbling down the hillside.",句子：The,caused,hillside,sending
"句子：The blue sky stretched endlessly overhead, casting a serene hue over the landscape below.",sky,stretched,landscape,casting
句子：The carpenter used a sturdy board to build the new shelves in the workshop.,carpenter,used,workshop,to build
"句子：The old boat gracefully glided across the serene lake, its weathered wood bearing the stories of countless voyages and adventures.",boat,glided,voyages,"weathered, bearing"
"句子：The body gracefully moved through the water, propelled by powerful strokes and streamlined form.",body,moved,strokes,propelled
